timestamp,event_id,host,user,role,is_tester,event_category,source_ip,status,logon_type,process,crypto_op,privilege
2026-01-01 00:08:17,4768,WS-021,night_user2,employee,False,,10.0.0.52,,,,,
2026-01-01 00:11:55,5061,WS-010,night_user2,employee,False,crypto_activity,,,,,crypto_operation,
2026-01-01 00:12:04,4648,WS-028,night_user8,employee,False,,10.0.0.67,,,,,
2026-01-01 00:14:02,4688,WS-005,tester2,tester,True,process_activity,,,,winlogon.exe,,
2026-01-01 00:33:01,4634,WS-038,night_user5,employee,False,authentication,,logoff,,,,
2026-01-01 00:37:14,4648,WS-007,night_user0,employee,False,,192.168.1.185,,,,,
2026-01-01 01:03:26,4688,WS-016,night_user3,employee,False,process_activity,,,,services.exe,,
2026-01-01 01:26:06,5058,WS-011,night_user4,employee,False,crypto_activity,,,,,key_operation,
2026-01-01 01:33:27,4672,WS-016,night_user3,employee,False,privilege_activity,,,,,,admin_assigned
2026-01-01 01:35:42,5061,DC-02,admin2,admin,False,crypto_activity,,,,,crypto_operation,
2026-01-01 01:49:22,4624,WS-007,night_user0,employee,False,authentication,10.0.0.197,success,3.0,,,
2026-01-01 01:52:50,4648,WS-021,night_user2,employee,False,,10.0.0.23,,,,,
2026-01-01 02:08:04,4634,WS-028,night_user8,employee,False,authentication,,logoff,,,,
2026-01-01 02:14:07,5061,WS-011,night_user4,employee,False,crypto_activity,,,,,crypto_operation,
2026-01-01 02:20:58,4688,WS-011,night_user4,employee,False,process_activity,,,,powershell.exe,,
2026-01-01 03:04:11,4625,WS-042,tester1,tester,True,authentication,10.0.0.175,failed,10.0,,,
2026-01-01 03:09:11,4625,DC-01,admin2,admin,False,authentication,10.0.0.138,failed,10.0,,,
2026-01-01 03:25:32,4672,ADMIN-02,admin3,admin,False,privilege_activity,,,,,,admin_assigned
2026-01-01 03:37:43,4648,WS-029,tester1,tester,True,,10.0.0.174,,,,,
2026-01-01 03:40:35,4625,WS-001,night_user6,employee,False,authentication,10.0.0.163,failed,3.0,,,
2026-01-01 04:05:29,5058,WS-021,night_user2,employee,False,crypto_activity,,,,,key_operation,
2026-01-01 04:06:00,4672,WS-041,night_user6,employee,False,privilege_activity,,,,,,admin_assigned
2026-01-01 04:15:03,4624,WS-011,night_user4,employee,False,authentication,10.0.0.175,success,10.0,,,
2026-01-01 04:17:58,5058,WS-037,night_user7,employee,False,crypto_activity,,,,,key_operation,
2026-01-01 04:24:57,4648,WS-028,night_user8,employee,False,,10.0.0.77,,,,,
2026-01-01 04:26:11,5061,SRV-05,admin3,admin,False,crypto_activity,,,,,crypto_operation,
2026-01-01 04:28:14,4672,WS-028,night_user8,employee,False,privilege_activity,,,,,,admin_assigned
2026-01-01 04:35:21,5058,WS-011,night_user4,employee,False,crypto_activity,,,,,key_operation,
2026-01-01 04:39:08,5058,WS-037,night_user7,employee,False,crypto_activity,,,,,key_operation,
2026-01-01 04:47:37,5058,WS-043,night_user6,employee,False,crypto_activity,,,,,key_operation,
2026-01-01 04:55:09,4624,WS-037,night_user7,employee,False,authentication,10.0.0.117,success,10.0,,,
2026-01-01 04:55:25,4648,WS-037,night_user7,employee,False,,10.0.0.46,,,,,
2026-01-01 05:12:07,4625,WS-037,night_user7,employee,False,authentication,192.168.1.155,failed,10.0,,,
2026-01-01 05:19:29,4672,WS-033,tester2,tester,True,privilege_activity,,,,,,admin_assigned
2026-01-01 05:20:47,4688,ADMIN-03,admin3,admin,False,process_activity,,,,services.exe,,
2026-01-01 05:38:09,5058,ADMIN-02,tester0,tester,True,crypto_activity,,,,,key_operation,
2026-01-01 05:57:00,4648,SRV-10,admin2,admin,False,,10.0.0.50,,,,,
2026-01-01 06:03:17,4769,SRV-05,tester2,tester,True,,10.0.0.180,,,,,
2026-01-01 06:40:24,5058,DC-01,admin3,admin,False,crypto_activity,,,,,key_operation,
